id,cate_id,food_name,alias_name,english_name,edible_part,water,energy,protein,fat,cholesterol,ash,carbohydrate,dietary_fiber,carotene,shihuangchun,vitamin_a,vitamin_e,thiamin,riboflavin,niacin,vitamin_c,calcium,phosphorus,potassium,sodium,magnesium,iron,zinc,selenium,copper,manganese,iodine,sfa,mufa,pufa,fatty_acids_total
1074,,板油酥饼,,,,,1502kJ,8g,15g,49mg,,48g,1g,1μg,27μg,40μg,2mg,0mg,0mg,1mg,0mg,14mg,71mg,102mg,324mg,14mg,2mg,1mg,0μg,0mg,0mg,,,,,
1075,,蛋黄酥,,,,,1615kJ,12g,4g,0mg,,76g,1g,1μg,6μg,33μg,1mg,0mg,0mg,4mg,0mg,47mg,181mg,105mg,100mg,38mg,3mg,1mg,12μg,1mg,1mg,,,,,
1076,,蛋麻脆,,,,,1891kJ,9g,17g,0mg,,65g,2g,2μg,5μg,174μg,3mg,0mg,0mg,4mg,0mg,59mg,171mg,134mg,68mg,49mg,2mg,0mg,3μg,0mg,0mg,,,,,
1077,,德庆酥,,,,,1908kJ,6g,19g,50mg,,66g,4g,1μg,4μg,0μg,0mg,0mg,0mg,5mg,0mg,38mg,106mg,98mg,60mg,40mg,1mg,0mg,1μg,0mg,0mg,,,,,
1078,,鹅油卷,,,,,1929kJ,8g,23g,0mg,,56g,2g,2μg,10μg,17μg,2mg,0mg,0mg,10mg,0mg,53mg,113mg,139mg,24mg,55mg,3mg,1mg,10μg,0mg,1mg,,,,,
1079,,凤尾酥,,,,,2138kJ,7g,25g,0mg,,64g,0g,1μg,3μg,57μg,2mg,0mg,0mg,1mg,0mg,40mg,94mg,84mg,0mg,9mg,0mg,0mg,22μg,0mg,0mg,,,,,
1080,,福来酥,,,,,1946kJ,6g,21g,0mg,,62g,2g,1μg,7μg,54μg,1mg,0mg,0mg,2mg,0mg,54mg,95mg,96mg,45mg,17mg,5mg,0mg,16μg,0mg,0mg,,,,,
1081,,核桃薄脆,,,,,2008kJ,10g,25g,0mg,,55g,6g,1μg,3μg,10μg,4mg,0mg,0mg,6mg,0mg,54mg,131mg,147mg,251mg,36mg,4mg,1mg,10μg,0mg,1mg,,,,,
1082,,黑麻香酥,,,,,1828kJ,6g,16g,0mg,,67g,3g,1μg,7μg,274μg,4mg,0mg,0mg,1mg,0mg,89mg,107mg,104mg,36mg,50mg,7mg,1mg,2μg,0mg,0mg,,,,,
1083,,黑洋酥,,,,,1745kJ,4g,12g,0mg,,72g,8g,1μg,2μg,0μg,0mg,0mg,0mg,0mg,0mg,8mg,144mg,92mg,3mg,3mg,6mg,1mg,3μg,0mg,1mg,,,,,
1084,,混糖糕点,,,,,1895kJ,8g,16g,0mg,,69g,1g,1μg,5μg,7μg,6mg,0mg,0mg,3mg,0mg,77mg,96mg,116mg,135mg,47mg,4mg,1mg,8μg,0mg,0mg,,,,,
1085,,鸡腿酥,,,,,1824kJ,6g,13g,0mg,,73g,0g,1μg,7μg,0μg,2mg,0mg,0mg,1mg,0mg,19mg,63mg,59mg,407mg,14mg,1mg,0mg,9μg,0mg,0mg,,,,,
1086,,夹心酥饼,,,,,2013kJ,5g,25g,0mg,,59g,0g,0μg,10μg,0μg,3mg,0mg,0mg,0mg,0mg,14mg,85mg,66mg,19mg,22mg,3mg,1mg,0μg,0mg,0mg,,,,,
1087,,江米条,,,,,1837kJ,6g,12g,0mg,,78g,0g,0μg,4μg,0μg,14mg,0mg,0mg,2mg,0mg,33mg,56mg,68mg,46mg,31mg,2mg,1mg,6μg,0mg,1mg,,,,,
1088,,金钱酥,,,,,1983kJ,11g,23g,107mg,,55g,8g,2μg,1μg,0μg,6mg,0mg,0mg,2mg,0mg,508mg,294mg,272mg,60mg,390mg,9mg,4mg,15μg,1mg,1mg,,,,,
1089,,京式黄酥,,,,,2050kJ,6g,22g,92mg,,67g,0g,0μg,4μg,17μg,4mg,0mg,0mg,2mg,0mg,30mg,46mg,79mg,53mg,21mg,2mg,0mg,4μg,0mg,0mg,,,,,
1090,,开口笑,,,,,2142kJ,8g,30g,0mg,,52g,3g,1μg,5μg,12μg,28mg,0mg,0mg,6mg,0mg,39mg,133mg,143mg,68mg,81mg,4mg,1mg,12μg,0mg,1mg,,,,,
1091,,廖花糖,,,,,1640kJ,7g,14g,0mg,,59g,12g,1μg,7μg,0μg,4mg,0mg,0mg,2mg,0mg,243mg,60mg,58mg,36mg,77mg,0mg,2mg,0μg,0mg,2mg,,,,,
1092,,绿豆糕,,,,,1460kJ,13g,1g,0mg,,72g,1g,1μg,12μg,47μg,4mg,0mg,0mg,6mg,0mg,24mg,121mg,416mg,12mg,87mg,7mg,1mg,5μg,0mg,1mg,,,,,
1093,,麻烘糕,,,,,1661kJ,4g,4g,0mg,,87g,0g,1μg,4μg,0μg,0mg,0mg,0mg,2mg,0mg,59mg,66mg,45mg,2mg,27mg,6mg,0mg,2μg,0mg,0mg,,,,,
1094,,麻花,,,,,2192kJ,8g,32g,0mg,,52g,2g,1μg,6μg,0μg,22mg,0mg,0mg,3mg,0mg,26mg,136mg,213mg,99mg,67mg,0mg,3mg,7μg,0mg,1mg,,,,,
1095,,麻香糕,,,,,1678kJ,4g,4g,0mg,,88g,0g,0μg,4μg,0μg,1mg,0mg,0mg,2mg,0mg,23mg,46mg,45mg,2mg,19mg,1mg,0mg,4μg,0mg,0mg,,,,,
1096,,米花糖,,,,,1607kJ,3g,3g,0mg,,86g,0g,0μg,7μg,0μg,2mg,0mg,0mg,2mg,0mg,144mg,52mg,55mg,43mg,42mg,5mg,0mg,2μg,0mg,1mg,,,,,
1097,,起酥,,,,,2088kJ,9g,32g,0mg,,45g,0g,2μg,13μg,55μg,6mg,0mg,0mg,2mg,0mg,0mg,68mg,73mg,494mg,24mg,2mg,0mg,7μg,0mg,0mg,,,,,
1098,,水晶饼,,,,,1824kJ,0g,17g,51mg,,70g,1g,1μg,11μg,0μg,1mg,0mg,0mg,0mg,0mg,49mg,106mg,47mg,32mg,49mg,4mg,1mg,15μg,0mg,1mg,,,,,
1099,,酥皮糕点,,,,,1782kJ,8g,16g,0mg,,64g,1g,1μg,11μg,12μg,1mg,0mg,0mg,3mg,0mg,24mg,91mg,105mg,56mg,35mg,3mg,1mg,10μg,0mg,1mg,,,,,
1100,,桃酥,,,,,2013kJ,7g,22g,0mg,,64g,1g,1μg,5μg,0μg,14mg,0mg,0mg,2mg,0mg,48mg,87mg,90mg,34mg,59mg,3mg,1mg,16μg,0mg,1mg,,,,,
1101,,硬皮糕点,,,,,1937kJ,8g,20g,0mg,,62g,1g,1μg,7μg,40μg,10mg,0mg,0mg,3mg,0mg,42mg,123mg,111mg,97mg,41mg,1mg,1mg,13μg,0mg,1mg,,,,,
1102,,芝麻桃酥,,,,,1954kJ,7g,18g,0mg,,70g,0g,0μg,5μg,15μg,14mg,0mg,0mg,0mg,0mg,6mg,101mg,78mg,2mg,27mg,2mg,1mg,1μg,0mg,0mg,,,,,
1103,,状元饼,,,,,1820kJ,9g,15g,0mg,,67g,1g,1μg,8μg,13μg,2mg,0mg,0mg,1mg,0mg,0mg,61mg,136mg,14mg,28mg,5mg,1mg,0μg,0mg,0mg,,,,,
1104,,茯苓夹饼,,,,,1389kJ,4g,0g,0mg,,78g,6g,1μg,10μg,0μg,5mg,0mg,0mg,1mg,0mg,65mg,131mg,105mg,103mg,52mg,6mg,1mg,1μg,0mg,0mg,,,,,
1105,,蛋片,,,,,1636kJ,8g,4g,0mg,,80g,0g,1μg,7μg,180μg,2mg,0mg,0mg,0mg,0mg,6mg,153mg,90mg,47mg,20mg,2mg,1mg,16μg,0mg,0mg,,,,,
1106,,麦片,,,,,1469kJ,12g,7g,0mg,,59g,9g,2μg,11μg,0μg,1mg,0mg,0mg,4mg,0mg,8mg,339mg,306mg,21mg,108mg,4mg,2mg,6μg,0mg,3mg,,,,,
1107,,燕麦片,,,,,1536kJ,15g,7g,0mg,,62g,5g,2μg,9μg,0μg,3mg,0mg,0mg,1mg,0mg,186mg,291mg,214mg,4mg,177mg,7mg,3mg,4μg,0mg,3mg,,,,,
1108,,玉米片(即食粥),,,,,1632kJ,7g,4g,0mg,,82g,0g,0μg,6μg,0μg,0mg,0mg,0mg,2mg,0mg,11mg,70mg,52mg,2mg,22mg,9mg,0mg,1μg,0mg,0mg,,,,,
1109,,方便面,,,,,1975kJ,10g,21g,0mg,,61g,1g,4μg,4μg,0μg,2mg,0mg,0mg,1mg,0mg,25mg,80mg,134mg,1144mg,38mg,4mg,1mg,10μg,0mg,1mg,,,,,
1110,,面包(均值),,,,,1305kJ,8g,5g,0mg,,58g,0g,1μg,27μg,0μg,2mg,0mg,0mg,2mg,0mg,49mg,107mg,88mg,230mg,31mg,2mg,1mg,3μg,0mg,0mg,,,,,
1111,,多维面包,,,,,1322kJ,9g,8g,0mg,,51g,0g,1μg,31μg,0μg,1mg,0mg,0mg,3mg,0mg,49mg,110mg,12mg,653mg,32mg,3mg,1mg,17μg,0mg,0mg,,,,,
1112,,法式牛角面包,,,,,1569kJ,8g,14g,0mg,,53g,2g,1μg,21μg,0μg,4mg,0mg,0mg,5mg,0mg,83mg,93mg,103mg,352mg,29mg,2mg,1mg,18μg,0mg,0mg,,,,,
1113,,法式配餐面包,,,,,1180kJ,10g,1g,0mg,,58g,1g,2μg,28μg,0μg,1mg,0mg,0mg,6mg,0mg,127mg,102mg,113mg,478mg,35mg,2mg,1mg,20μg,0mg,0mg,,,,,
1114,,果料面包,,,,,1163kJ,8g,2g,0mg,,56g,1g,1μg,31μg,0μg,1mg,0mg,0mg,5mg,0mg,124mg,100mg,94mg,210mg,29mg,2mg,1mg,24μg,0mg,0mg,,,,,
1115,,黄油面包,,,,,1377kJ,8g,9g,0mg,,55g,1g,0μg,27μg,0μg,5mg,0mg,0mg,2mg,0mg,35mg,94mg,92mg,14mg,22mg,2mg,0mg,3μg,0mg,0mg,,,,,
1116,,乐斯美面包,,,,,1393kJ,9g,3g,0mg,,68g,1g,0μg,19μg,0μg,0mg,0mg,0mg,1mg,0mg,22mg,99mg,103mg,55mg,26mg,2mg,2mg,3μg,0mg,0mg,,,,,
1117,,麦胚面包,,,,,1029kJ,8g,1g,0mg,,51g,0g,2μg,38μg,0μg,1mg,0mg,0mg,6mg,0mg,75mg,88mg,92mg,457mg,24mg,2mg,0mg,20μg,0mg,0mg,,,,,
1118,,麦维面包,,,,,1130kJ,8g,5g,0mg,,48g,0g,1μg,38μg,0μg,0mg,0mg,1mg,5mg,0mg,35mg,61mg,70mg,151mg,45mg,2mg,1mg,24μg,0mg,0mg,,,,,
1119,,维生素面包,,,,,1167kJ,9g,6g,0mg,,48g,0g,1μg,36μg,0μg,0mg,0mg,1mg,6mg,0mg,49mg,107mg,85mg,256mg,27mg,2mg,1mg,22μg,0mg,0mg,,,,,
1120,,咸面包,,,,,1146kJ,9g,4g,0mg,,50g,0g,2μg,34μg,0μg,1mg,0mg,0mg,4mg,0mg,89mg,108mg,89mg,526mg,28mg,3mg,1mg,34μg,0mg,0mg,,,,,
1121,,椰圈面包,,,,,1339kJ,10g,5g,0mg,,60g,0g,1μg,25μg,0μg,2mg,0mg,0mg,1mg,0mg,49mg,104mg,90mg,106mg,27mg,2mg,1mg,0μg,0mg,0mg,,,,,
1122,,桦榕面包,,,,,1372kJ,9g,8g,0mg,,56g,0g,1μg,26μg,0μg,2mg,0mg,0mg,0mg,0mg,9mg,174mg,90mg,236mg,30mg,2mg,1mg,12μg,0mg,1mg,,,,,
1123,,饼干(均值),,,,,1812kJ,9g,13g,81mg,,71g,1g,1μg,6μg,37μg,5mg,0mg,0mg,5mg,3mg,73mg,88mg,85mg,204mg,50mg,2mg,1mg,12μg,0mg,1mg,,,,,
1124,,VC饼干,,,,,2393kJ,11g,40g,0mg,,43g,0g,1μg,6μg,0μg,4mg,0mg,0mg,2mg,5mg,0mg,95mg,99mg,114mg,54mg,2mg,1mg,23μg,0mg,1mg,,,,,
1125,,饼干(强化锌)[富锌饼干],,,,,1858kJ,11g,13g,0mg,,70g,1g,1μg,3μg,13μg,8mg,0mg,0mg,2mg,0mg,144mg,123mg,117mg,231mg,74mg,2mg,2mg,24μg,0mg,1mg,,,,,
1126,,补血饼干,,,,,1891kJ,12g,15g,0mg,,68g,0g,1μg,4μg,0μg,0mg,0mg,0mg,0mg,13mg,76mg,184mg,72mg,177mg,73mg,10mg,4mg,0μg,1mg,0mg,,,,,
1127,,儿童营养饼干,,,,,1870kJ,11g,13g,0mg,,72g,0g,0μg,4μg,0μg,0mg,0mg,0mg,0mg,7mg,136mg,172mg,52mg,107mg,59mg,5mg,3mg,0μg,0mg,0mg,,,,,
1128,,钙奶饼干,,,,,1858kJ,8g,13g,81mg,,73g,1g,1μg,3μg,0μg,2mg,0mg,0mg,1mg,3mg,115mg,267mg,83mg,112mg,61mg,4mg,3mg,12μg,1mg,1mg,,,,,
1129,,钙王饼干,,,,,1883kJ,8g,14g,0mg,,73g,0g,2μg,3μg,12μg,2mg,0mg,0mg,0mg,0mg,250mg,277mg,132mg,259mg,22mg,1mg,2mg,4μg,0mg,1mg,,,,,
1130,,高蛋白饼干,,,,,1874kJ,11g,16g,0mg,,64g,2g,1μg,6μg,77μg,7mg,0mg,0mg,6mg,9mg,111mg,159mg,103mg,105mg,60mg,4mg,1mg,27μg,1mg,1mg,,,,,
1131,,军用压缩饼干,,,,,1912kJ,8g,18g,0mg,,66g,1g,1μg,5μg,0μg,1mg,0mg,0mg,5mg,0mg,149mg,119mg,106mg,320mg,57mg,4mg,0mg,23μg,0mg,1mg,,,,,
1132,,奶油饼干,,,,,1795kJ,8g,13g,81mg,,69g,1g,2μg,6μg,22μg,7mg,0mg,0mg,4mg,0mg,49mg,105mg,110mg,196mg,32mg,2mg,2mg,21μg,1mg,1mg,,,,,
1133,,牛奶饼干,,,,,1707kJ,8g,6g,0mg,,80g,0g,1μg,4μg,94μg,1mg,0mg,0mg,0mg,0mg,6mg,102mg,129mg,399mg,30mg,3mg,2mg,3μg,0mg,1mg,,,,,
1134,,曲奇饼,,,,,2284kJ,6g,32g,0mg,,59g,0g,1μg,2μg,0μg,6mg,0mg,0mg,1mg,0mg,45mg,64mg,67mg,175mg,19mg,2mg,0mg,13μg,0mg,0mg,,,,,
1135,,苏打饼干,,,,,1707kJ,8g,8g,0mg,,76g,0g,2μg,6μg,0μg,1mg,0mg,0mg,0mg,0mg,0mg,69mg,82mg,312mg,20mg,2mg,0mg,39μg,0mg,0mg,,,,,
1136,,维夫饼干,,,,,2209kJ,5g,35g,0mg,,48g,0g,1μg,10μg,0μg,1mg,0mg,0mg,1mg,0mg,58mg,63mg,0mg,282mg,24mg,2mg,1mg,10μg,0mg,0mg,,,,,
1137,,菠萝豆,,,,,1640kJ,10g,2g,0mg,,83g,0g,0μg,4μg,0μg,0mg,0mg,0mg,0mg,0mg,19mg,100mg,38mg,30mg,4mg,9mg,2mg,4μg,0mg,3mg,,,,,
1138,,空心果,,,,,1887kJ,7g,15g,27mg,,72g,0g,0μg,6μg,0μg,1mg,0mg,0mg,0mg,0mg,114mg,53mg,40mg,6mg,28mg,5mg,1mg,0μg,0mg,0mg,,,,,
1139,,马铃薯片(油炸)[油炸土豆片],,,,,2561kJ,4g,48g,0mg,,40g,2g,2μg,4μg,8μg,5mg,0mg,0mg,6mg,0mg,11mg,88mg,620mg,61mg,34mg,1mg,1mg,0μg,0mg,0mg,,,,,
1140,,酥香兰花豆,,,,,1741kJ,13g,14g,0mg,,60g,1g,3μg,9μg,0μg,8mg,0mg,0mg,2mg,0mg,59mg,157mg,508mg,110mg,40mg,2mg,2mg,9μg,1mg,1mg,,,,,
1141,,百令可乐,,,,,117kJ,0g,0g,0mg,,6g,0g,0μg,93μg,0μg,0mg,0mg,0mg,0mg,0mg,43mg,4mg,1mg,23mg,1mg,0mg,0mg,0μg,0mg,0mg,,,,,
1142,,冰川可乐,,,,,188kJ,0g,0g,0mg,,11g,0g,0μg,89μg,0μg,0mg,0mg,0mg,0mg,0mg,0mg,0mg,1mg,11mg,4mg,0mg,0mg,0μg,0mg,0mg,,,,,
1143,,橙珍(易拉罐装),,,,,105kJ,0g,0g,0mg,,6g,0g,0μg,94μg,8μg,0mg,0mg,0mg,1mg,0mg,8mg,1mg,5mg,5mg,2mg,0mg,0mg,0μg,0mg,0mg,,,,,
1144,,橙汁汽水,,,,,84kJ,0g,0g,0mg,,5g,0g,0μg,95μg,10μg,0mg,0mg,0mg,0mg,0mg,10mg,0mg,3mg,8mg,2mg,0mg,0mg,0μg,0mg,0mg,,,,,
1145,,柠檬汽水,,,,,159kJ,0g,0g,0mg,,10g,0g,0μg,90μg,0μg,0mg,0mg,0mg,0mg,0mg,9mg,0mg,0mg,3mg,4mg,0mg,0mg,0μg,0mg,0mg,,,,,
1146,,特制柠檬汽水,,,,,209kJ,0g,0g,0mg,,12g,0g,0μg,88μg,0μg,0mg,0mg,0mg,0mg,0mg,8mg,1mg,2mg,4mg,1mg,0mg,0mg,0μg,0mg,0mg,,,,,
1147,,特制汽水,,,,,176kJ,0g,0g,0mg,,10g,0g,0μg,90μg,7μg,0mg,0mg,0mg,1mg,0mg,8mg,1mg,4mg,6mg,2mg,0mg,0mg,0μg,0mg,0mg,,,,,
1148,,维尔康运动饮料,,,,,188kJ,0g,0g,0mg,,11g,0g,0μg,89μg,0μg,0mg,0mg,0mg,0mg,0mg,6mg,0mg,5mg,5mg,2mg,0mg,0mg,0μg,0mg,0mg,,,,,
1149,,VC橘汁,,,,,397kJ,0g,0g,0mg,,23g,0g,0μg,76μg,0μg,0mg,0mg,0mg,0mg,187mg,4mg,1mg,25mg,4mg,3mg,0mg,0mg,0μg,0mg,0mg,,,,,
1150,,浓缩橘汁,,,,,983kJ,1g,0g,0mg,,57g,0g,0μg,41μg,122μg,0mg,0mg,0mg,0mg,80mg,21mg,8mg,140mg,4mg,23mg,1mg,0mg,1μg,0mg,0mg,,,,,
1151,,鲜橘汁(纸盒),,,,,126kJ,0g,0g,0mg,,7g,0g,0μg,92μg,3μg,0mg,0mg,0mg,0mg,0mg,7mg,0mg,3mg,4mg,1mg,0mg,0mg,0μg,0mg,0mg,,,,,
1152,,橘子汁,,,,,498kJ,0g,0g,0mg,,30g,0g,0μg,70μg,2μg,0mg,0mg,0mg,0mg,2mg,4mg,0mg,6mg,19mg,2mg,0mg,0mg,0μg,0mg,0mg,,,,,
1153,,刺玫汁(纸盒),,,,,134kJ,0g,0g,0mg,,8g,0g,0μg,92μg,0μg,0mg,0mg,0mg,0mg,0mg,6mg,0mg,6mg,4mg,3mg,0mg,0mg,0μg,0mg,0mg,,,,,
1154,,甘蔗汁,,,,,268kJ,0g,0g,0mg,,15g,1g,0μg,83μg,2μg,0mg,0mg,0mg,0mg,2mg,14mg,14mg,95mg,3mg,4mg,0mg,1mg,0μg,0mg,1mg,,,,,
1155,,红果汁,,,,,657kJ,0g,0g,0mg,,39g,0g,0μg,61μg,0μg,0mg,0mg,0mg,0mg,0mg,5mg,1mg,10mg,19mg,4mg,0mg,0mg,0μg,0mg,0mg,,,,,
1156,,柠檬汁,,,,,109kJ,1g,0g,0mg,,5g,0g,0μg,93μg,0μg,0mg,0mg,0mg,0mg,11mg,24mg,0mg,120mg,1mg,12mg,0mg,0mg,4μg,0mg,0mg,,,,,
1157,,沙棘果汁,,,,,184kJ,1g,0g,0mg,,9g,2g,0μg,88μg,0μg,0mg,0mg,0mg,0mg,8mg,10mg,3mg,53mg,5mg,1mg,15mg,0mg,1μg,0mg,0mg,,,,,
1158,,乌梅汁,,,,,556kJ,0g,0g,0mg,,33g,0g,1μg,66μg,0μg,0mg,0mg,0mg,0mg,0mg,6mg,0mg,7mg,24mg,4mg,0mg,0mg,0μg,0mg,0mg,,,,,
1159,,原汁沙棘,,,,,201kJ,3g,0g,0mg,,9g,0g,2μg,86μg,0μg,3mg,0mg,0mg,0mg,0mg,42mg,0mg,81mg,397mg,44mg,6mg,1mg,1μg,0mg,0mg,,,,,
1160,,胡萝卜素王,,,,,544kJ,0g,0g,0mg,,32g,0g,0μg,67μg,450μg,0mg,0mg,1mg,1mg,12mg,7mg,0mg,31mg,72mg,1mg,0mg,0mg,0μg,0mg,0mg,,,,,
1161,,果味奶,,,,,84kJ,1g,1g,18mg,,2g,0g,0μg,96μg,0μg,0mg,0mg,0mg,0mg,0mg,88mg,39mg,63mg,37mg,5mg,0mg,0mg,7μg,0mg,0mg,,,,,
1162,,喜乐(乳酸饮料),,,,,222kJ,1g,0g,38mg,,12g,0g,0μg,87μg,2μg,3mg,0mg,0mg,0mg,0mg,14mg,23mg,20mg,54mg,2mg,0mg,0mg,1μg,0mg,0mg,,,,,
1163,,巧克力豆奶,,,,,163kJ,3g,0g,0mg,,6g,0g,0μg,90μg,0μg,6mg,0mg,0mg,0mg,0mg,17mg,36mg,57mg,25mg,19mg,0mg,0mg,0μg,0mg,0mg,,,,,
1164,,杏仁露,,,,,192kJ,1g,1g,52mg,,8g,0g,0μg,90μg,0μg,0mg,0mg,0mg,0mg,1mg,4mg,1mg,1mg,9mg,0mg,0mg,0mg,0μg,0mg,0mg,,,,,
1165,,茶砖[砖茶],,,,,862kJ,14g,4g,0mg,,28g,39g,7μg,8μg,317μg,0mg,0mg,0mg,2mg,0mg,277mg,157mg,844mg,15mg,217mg,15mg,4mg,9μg,2mg,46mg,,,,,
1166,,茶砖(小),,,,,1021kJ,15g,4g,0mg,,37g,32g,5μg,7μg,0μg,0mg,0mg,1mg,0mg,0mg,334mg,182mg,624mg,85mg,151mg,13mg,2mg,12μg,2mg,126mg,,,,,
1167,,红茶,,,,,1230kJ,27g,1g,0mg,,44g,15g,6μg,7μg,645μg,5mg,0mg,0mg,6mg,8mg,378mg,390mg,1934mg,14mg,183mg,28mg,4mg,56μg,3mg,50mg,,,,,
1168,,花茶,,,,,1176kJ,27g,1g,0mg,,40g,18g,6μg,7μg,885μg,13mg,0mg,0mg,0mg,26mg,454mg,338mg,1643mg,8mg,192mg,18mg,4mg,9μg,2mg,17mg,,,,,
1169,,甲级龙井,,,,,1293kJ,33g,3g,0mg,,38g,11g,9μg,6μg,888μg,6mg,0mg,0mg,9mg,0mg,402mg,542mg,2812mg,54mg,224mg,24mg,6mg,17μg,2mg,8mg,,,,,
1170,,绿茶,,,,,1238kJ,34g,2g,0mg,,35g,16g,6μg,8μg,967μg,10mg,0mg,0mg,8mg,19mg,325mg,191mg,1661mg,28mg,196mg,14mg,4mg,3μg,2mg,33mg,,,,,
1171,,石榴花茶,,,,,1339kJ,10g,3g,0mg,,63g,11g,6μg,6μg,262μg,7mg,0mg,0mg,4mg,0mg,1143mg,165mg,2455mg,37mg,206mg,24mg,2mg,15μg,1mg,3mg,,,,,
1172,,柿叶茶,,,,,1197kJ,26g,2g,0mg,,41g,18g,10μg,4μg,0μg,0mg,0mg,1mg,0mg,866mg,0mg,0mg,0mg,0mg,0mg,0mg,0mg,0μg,0mg,0mg,,,,,
1173,,铁观音茶,,,,,1272kJ,23g,1g,0mg,,50g,15g,5μg,6μg,432μg,17mg,0mg,0mg,18mg,0mg,416mg,251mg,1462mg,8mg,131mg,9mg,2mg,14μg,1mg,14mg,,,,,
1174,,珠茶,,,,,1276kJ,29g,2g,0mg,,44g,15g,6μg,5μg,0μg,17mg,0mg,0mg,7mg,44mg,203mg,352mg,739mg,13mg,202mg,40mg,3mg,6μg,1mg,63mg,,,,,
1175,,茶水,,,,,0kJ,0g,0g,0mg,,0g,0g,0μg,100μg,0μg,0mg,0mg,0mg,0mg,0mg,2mg,1mg,6mg,4mg,3mg,0mg,0mg,0μg,0mg,0mg,,,,,
1176,,宝宝福,,,,,1632kJ,0g,0g,0mg,,97g,0g,0μg,2μg,0μg,0mg,0mg,1mg,0mg,31mg,29mg,5mg,96mg,23mg,10mg,13mg,0mg,0μg,0mg,0mg,,,,,
1177,,冰淇淋粉,,,,,1657kJ,14g,4g,86mg,,77g,0g,3μg,2μg,62μg,0mg,0mg,0mg,0mg,0mg,539mg,320mg,235mg,181mg,123mg,1mg,1mg,0μg,0mg,0mg,,,,,
1178,,固体桔子饮料,,,,,1636kJ,0g,0g,0mg,,98g,0g,0μg,2μg,0μg,0mg,0mg,0mg,1mg,63mg,54mg,3mg,3mg,11mg,6mg,0mg,0mg,0μg,0mg,0mg,,,,,
1179,,可可粉,,,,,1339kJ,21g,8g,0mg,,40g,14g,9μg,8μg,22μg,6mg,0mg,0mg,1mg,0mg,74mg,623mg,360mg,23mg,5mg,1mg,1mg,4μg,1mg,0mg,,,,,
1180,,麦乳精,,,,,1795kJ,8g,10g,0mg,,77g,0g,3μg,2μg,113μg,0mg,0mg,0mg,1mg,0mg,145mg,218mg,355mg,178mg,70mg,4mg,2mg,3μg,0mg,0mg,,,,,
1181,,山楂晶,,,,,1615kJ,0g,0g,0mg,,96g,0g,0μg,4μg,0μg,0mg,0mg,1mg,1mg,0mg,37mg,3mg,32mg,58mg,8mg,2mg,0mg,0μg,0mg,0mg,,,,,
1182,,酸梅晶,,,,,1648kJ,0g,0g,0mg,,98g,0g,0μg,1μg,0μg,0mg,0mg,1mg,0mg,5mg,29mg,4mg,50mg,12mg,6mg,7mg,2mg,0μg,0mg,0mg,,,,,
1183,,鲜桔晶,,,,,1611kJ,0g,0g,0mg,,96g,0g,0μg,4μg,0μg,0mg,0mg,0mg,0mg,18mg,24mg,2mg,1mg,6mg,0mg,0mg,3mg,0μg,0mg,0mg,,,,,
1184,,猕猴桃晶,,,,,1632kJ,0g,0g,0mg,,97g,0g,0μg,2μg,0μg,0mg,0mg,0mg,0mg,0mg,28mg,4mg,96mg,2mg,11mg,2mg,0mg,2μg,0mg,0mg,,,,,
1185,,橘子晶,,,,,1632kJ,0g,0g,0mg,,96g,0g,0μg,3μg,3μg,0mg,0mg,1mg,0mg,3mg,14mg,0mg,3mg,33mg,1mg,1mg,0mg,0μg,0mg,0mg,,,,,
1186,,冰棍,,,,,197kJ,1g,0g,0mg,,10g,0g,0μg,88μg,0μg,0mg,0mg,0mg,0mg,0mg,31mg,13mg,0mg,20mg,0mg,1mg,0mg,0μg,0mg,0mg,,,,,
1187,,冰砖,,,,,640kJ,3g,7g,0mg,,20g,0g,1μg,70μg,20μg,1mg,0mg,0mg,0mg,0mg,140mg,72mg,141mg,44mg,12mg,0mg,0mg,2μg,0mg,0mg,,,,,
1188,,冰淇淋,,,,,531kJ,2g,5g,0mg,,17g,0g,1μg,74μg,48μg,0mg,0mg,0mg,0mg,0mg,126mg,67mg,125mg,54mg,12mg,0mg,0mg,2μg,0mg,0mg,,,,,
1189,,大雪糕,,,,,310kJ,2g,1g,0mg,,14g,0g,0μg,82μg,35μg,2mg,0mg,0mg,0mg,0mg,80mg,34mg,42mg,84mg,6mg,1mg,0mg,1μg,0mg,0mg,,,,,
1190,,三明治冰激淋,,,,,707kJ,7g,6g,0mg,,22g,0g,1μg,64μg,68μg,1mg,0mg,0mg,0mg,0mg,196mg,79mg,162mg,180mg,16mg,2mg,2mg,0μg,0mg,0mg,,,,,
1191,,双棒雪糕,,,,,573kJ,2g,4g,0mg,,24g,0g,0μg,70μg,45μg,1mg,0mg,0mg,0mg,0mg,100mg,21mg,94mg,51mg,9mg,1mg,0mg,2μg,0mg,0mg,,,,,
1192,,娃娃头,,,,,900kJ,10g,9g,0mg,,25g,0g,1μg,56μg,60μg,2mg,0mg,0mg,0mg,0mg,147mg,130mg,57mg,200mg,32mg,1mg,1mg,3μg,0mg,0mg,,,,,
1193,,紫雪糕,,,,,954kJ,3g,14g,0mg,,24g,0g,1μg,59μg,26μg,4mg,0mg,0mg,0mg,0mg,168mg,64mg,124mg,66mg,16mg,1mg,1mg,3μg,0mg,0mg,,,,,
